xTilt_deg,yTilt _deg,MicrographName_number,AreaOfInterest,DF,BF
32,-19.6,150keV_irradiated 100 cnts_0113,2,1,0
24,-13.9,150keV_irradiated 100 cnts_0109,2,1,0
22,-12.6,150keV_irradiated 100 cnts_0100,2,1,0
16,-9,150keV_irradiated 100 cnts_0094,2,1,0
14,-8.5,150keV_irradiated 100 cnts_0089,2,1,0
12,-7.3,150keV_irradiated 100 cnts_0083,2,1,0
10,-6.7,150keV_irradiated 100 cnts_0077-1,2,1,0
-1,-0.8,150keV_irradiated 100 cnts_0004,2,1,0
-3,0.6,150keV_irradiated 100 cnts_0010,2,1,0
-5,1.1,150keV_irradiated 100 cnts_0016,2,1,0
-7,2.6,150keV_irradiated 100 cnts_0024,2,1,0
-9,3.3,150keV_irradiated 100 cnts_0029,2,1,0
-14,6,150keV_irradiated 100 cnts_0034,2,1,0
-16,7,150keV_irradiated 100 cnts_0040,2,1,0
-24,11.8,150keV_irradiated 100 cnts_0046,2,1,0
-26,12.6,150keV_irradiated 100 cnts_0053,2,1,0
-32,16.2,150keV_irradiated 100 cnts_0059,2,1,0
-34,18.2,150keV_irradiated 100 cnts_0064,2,1,0
-36,20.3,150keV_irradiated 100 cnts_0071,2,1,0
